Movie_Title,Budget,Genre,Release_Date,Success
The Action Hero,1771150109,Action,15-7-2022,Blckbuster
Comedy Central,1591089338,Comedy,23-09-2020,Hit
The Dramatic Life,3837021066,Drama,17-09-1998,Flop
Sci-Fi Adventures,1622201151,Sci-fi,26-05-2021,Average
Romantic Nights,2009549621,Romance,06-12-2023,Blckbuster
Superhero Squad,3368098111,Comedy,05-04-1999,Hit
Mystery Unfolds,2959797547,Action,07-05-1996,Average
Horror House,4643843022,Drama,09-08-2023,Flop
Fantasy Realm,3446224388,Action,05-05-1999,Hit
The Thrilling Chase,4386638865,Sci-fi,04-05-1999,Average
